"НАЗВАНИЕ";"ОКВЭД";"№ Нал";"дата";"БАНК";"ФИО ДИРА";"АДРЕС";"Цена"
"ООО ""СМАРТСОФТ""";"51.64.2";7;07.04.2014;"Ланта+чековая книжка счет 22.04 иб акт";"Семибратов Иван Васильевич(доступен)";"ул. Сущевская";35000
"ООО ""БИЗНЕСПАРК""";"70.20";25;08.04.2014;"Ланта+чековая книжка счет 22.04 иб акт";"Семибратов Иван Васильевич(доступен)";"ул. Татищева";35000
"ООО ""ЮК ДОВЕРИЕ""";"74.11";18;07.04.2014;"Адмиралтейский счет 24.04 бизнес онлайн акт";"Григорян Михаил Григорьевич(не доступен)";"ул. Наримановская";30000
"ООО ""ЮК ПРАВО""";"74.11";15;17.04.2014;"2Т банк+карта счет 05.05 иб акт";"Аляпкин Николай Викторович (доступен)";"ул. Водопьянова";30000
"ООО «МАКСИМА»";"51.70";8;30.10.2013;"Адмиралтейский счет 07.05 иб акт";"Ясакова Гульнара Абдулловна(не доступна)";"Ольховский пер.";35000
"ООО ""РУБИКОН""";"51.70";;11.04.2014;"Тройка Д+чековая книжка счет 08.05 иб акт";"Стась Денис Геннадийевич( доступен)";"ул. Дмитровка М.";30000
"ООО ""КАМЕЛОТ""";"51.70";20;18.04.2014;"Профессионал счет 07.05 иб акт";"Шургин Олег Викторович(доступен)";"ул. Сталеваров";30000
"ООО ""ЭЛИТ СОФТ""";"51.70";13;25.04.2014;"Профессионал счет 07.05 иб акт";"Тузова Надежда Владимировна(доступна)";"ул. Водопьянова";30000
"ООО «ПАЛИТРА»";"51.70";36;24.04.2014;"Тройка Д+чековая книжка счет 13.05 иб акт";"Кибизова Фатима Сергеевна(доступна)";"Ленинский пр-т.";30000
"ООО ""ВИТРОКОМ""";"51.70";35;18.04.2014;"Адмиралтейский счет 14.05 иб акт";"Новикова Елена Алексеевна(доступна)";"г. Зеленоград";35000
"ООО ""СЛУЖБА ДОСУДЕБНОГО ВЗЫСКАНИЯ""";"65.23";26;15.04.2014;"Адмирал счет 14.05 иб акт";"Дюкина Светлана Хайрутдиновна(доступна)";"ул. Чертановская";30000
"ООО ""ЦЕНТР УПРАВЛЕНИЯ ДОЛГАМИ""";"65.23";8;15.04.2014;"Адмирал счет 14.05 иб акт";"Дюкина Светлана Хайрутдиновна(доступна)";"ул. Каланчевская";30000
"ООО ""НАЦИОНАЛЬНЫЙ ДОЛГОВОЙ ЦЕНТР""";"65.23";43;15.04.2014;"Адмирал счет 14.05 иб акт";"Дюкина Светлана Хайрутдиновна(доступна)";"Кронштадтский б-р.";30000
"ООО ""ЭДЕЛЬВЕЙС""";"55.11";13;30.04.2014;"Профессионал счет 14.05 иб акт";"Рыжов Дмитрий Викторович(доступен)";"ул. Зои и Александра Космодемьянских";30000
"ООО «МИРАЖ»";"55.30";33;07.03.2014;"Адмиралтейский счет 15.05 иб акт";"Трудкова Анастасия Юрьевна(доступна";"ул. Соколово-Мещерская";30000
"ООО «ДИЗАЙН-СТУДИО»";"74.84";28;06.05.2014;"Профессионал счет 15.05 иб акт";"Матушкин Вадим Алексеевич(доступен)";"ул. Теплый Стан";30000
"ООО ""МАЛАХИТ""";"45.21";13;05.05.2014;"Ланта+чековая книжка счет 16.05 иб акт";"Граблевский Евгений Игоревич(доступен)";"ул. Зои и Александра Космодемьянских";35000
"ООО ""ЭЛЬТЕДЕР""";"51.70";2;05.05.2014;"Ланта+чековая книжка счет 16.05 иб акт";"Граблевский Евгений Игоревич(доступен)";"Грохольский пер.";35000
"ООО ""РАЦИОНАЛ""";"51.70";6;29.04.2014;"Тройка счет 20.05 ждем иб";"Граблевский Евгений Игоревич(доступен)";"ул. Ордынка Б.";30000
"ООО ""АДОНИС""";"51.70";19;08.05.2014;"Адмиралтейский счет 20.05 иб акт";"Харламова Юлия Юрьевна";"Купавенский Б. пр-д.";30000
"ООО ""АНДРОМЕДА""";"51.70";43;07.05.2014;"Адмиралтейский счет 20.05 иб акт";"Харламова Юлия Юрьевна";"ул. Смольная";30000
"ООО ""АКВАТЕПЛОМОНТАЖ""";"51.70";17;22.04.2014;"Ланта+чековая книжка счет 21.05 ждем иб";"Кибизова Фатима Сергеевна(доступна)";"ул. Шереметьевская";30000
